,Company,TypeName,Ram,OpSys,Weight,Price_euros,Screen,IPS_Screen,Screen_PPI,Cpu_brand,HDD,SSD,Gpu_brand,os
78,Acer,Notebook,4,Windows 10,2.2,530.0,NormalScreen,No,141.2119981,Intel Core i3,1000,0,Nvidia,Windows
79,HP,Notebook,8,Windows 10,2.5,977.0,NormalScreen,No,127.3356746,Intel Core i5,1000,128,Nvidia,Windows
80,Dell,Ultrabook,8,Windows 10,1.88,1096.16,NormalScreen,Yes,141.2119981,Intel Core i5,0,256,Intel,Windows
81,Apple,Ultrabook,8,macOS,0.92,1510.0,NormalScreen,Yes,226.4155472,Intel Core i5,0,512,Intel,Mac
82,HP,Notebook,8,Windows 10,1.63,860.0,NormalScreen,No,157.3505121,Intel Core i5,0,256,Intel,Windows
83,Lenovo,Notebook,4,Windows 10,2.2,399.0,NormalScreen,No,141.2119981,AMD Processor,0,128,AMD,Windows
84,Acer,Notebook,4,Windows 10,2.1,395.0,NormalScreen,No,100.4546699,AMD Processor,1000,0,AMD,Windows
85,Dell,Gaming,16,Windows 10,2.65,1349.0,NormalScreen,Yes,141.2119981,Intel Core i7,1000,128,Nvidia,Windows
86,HP,Ultrabook,8,Windows 10,1.83,699.0,NormalScreen,Yes,141.2119981,Intel Core i7,0,256,Nvidia,Windows
87,HP,Notebook,8,Windows 10,1.96,598.99,NormalScreen,No,141.2119981,Intel Core i5,0,256,Intel,Windows
88,Asus,Gaming,16,Windows 10,2.2,1449.0,NormalScreen,Yes,141.2119981,Intel Core i7,1000,128,Nvidia,Windows
89,Dell,Ultrabook,8,Windows 10,1.21,1649.0,NormalScreen,Yes,165.6321181,Intel Core i7,0,256,Intel,Windows
90,Asus,Gaming,8,Windows 10,2.45,699.0,NormalScreen,No,141.2119981,AMD Processor,1000,0,AMD,Windows
91,Acer,Notebook,8,Windows 10,2.2,689.0,NormalScreen,No,141.2119981,Intel Core i7,1000,0,Nvidia,Windows
92,HP,Notebook,16,Windows 10,1.49,1197.0,NormalScreen,No,165.6321181,Intel Core i7,0,512,Intel,Windows
93,Dell,Gaming,8,Windows 10,2.65,1195.0,NormalScreen,No,141.2119981,Intel Core i5,0,256,Nvidia,Windows
94,Asus,Ultrabook,8,Windows 10,1.25,1049.0,NormalScreen,No,157.3505121,Intel Core i7,0,256,Intel,Windows
95,Acer,2 in 1 Convertible,8,Windows 10,1.5,847.0,TouchScreen,Yes,165.6321181,Intel Core i5,0,256,Intel,Windows
96,Dell,Notebook,8,Linux,2.2,599.9,NormalScreen,No,141.2119981,Intel Core i7,1000,0,AMD,Others/No OS/Linux
97,Dell,Notebook,4,Linux,2.2,485.0,NormalScreen,No,141.2119981,Intel Core i3,0,256,AMD,Others/No OS/Linux
98,Asus,Notebook,6,Windows 10,2.0,577.0,NormalScreen,No,141.2119981,Intel Core i3,0,256,Nvidia,Windows
99,HP,Gaming,12,Windows 10,2.62,1249.0,NormalScreen,Yes,141.2119981,Intel Core i7,1000,128,Nvidia,Windows
100,HP,Notebook,8,Windows 10,1.91,719.0,NormalScreen,No,141.2119981,Intel Core i7,0,256,AMD,Windows
101,HP,Notebook,4,Windows 10,2.1,349.0,NormalScreen,No,141.2119981,AMD Processor,500,0,AMD,Windows
102,Dell,Notebook,8,Linux,2.2,647.0,NormalScreen,No,141.2119981,Intel Core i5,1000,0,AMD,Others/No OS/Linux
103,HP,Ultrabook,8,Windows 10,1.38,1119.0,NormalScreen,Yes,165.6321181,Intel Core i7,0,256,Nvidia,Windows
104,Microsoft,Ultrabook,8,Windows 10 S,1.252,1340.0,TouchScreen,No,200.8425599,Intel Core i5,0,256,Intel,Windows
105,HP,Notebook,6,Windows 10,1.58,659.0,NormalScreen,Yes,157.3505121,Intel Core i5,0,256,Nvidia,Windows
106,Lenovo,Notebook,4,Windows 10,1.85,414.9,NormalScreen,No,141.2119981,Intel Core i3,1000,0,Intel,Windows
107,Asus,Ultrabook,8,Windows 10,1.3,1193.0,NormalScreen,Yes,157.3505121,Intel Core i7,0,256,Nvidia,Windows
108,MSI,Gaming,16,Windows 10,2.2,1299.0,NormalScreen,No,141.2119981,Intel Core i7,1000,256,Nvidia,Windows
109,Lenovo,Notebook,8,Windows 10,1.58,1480.0,NormalScreen,Yes,157.3505121,Intel Core i7,0,256,Intel,Windows
110,Asus,Ultrabook,16,Windows 10,1.5,1262.0,NormalScreen,No,141.2119981,Intel Core i7,1000,256,Nvidia,Windows
111,Dell,Ultrabook,8,Windows 10,1.23,1379.0,TouchScreen,No,276.0535301,Intel Core i7,0,256,Intel,Windows
112,Lenovo,2 in 1 Convertible,8,Windows 10,1.37,1399.0,TouchScreen,Yes,165.6321181,Intel Core i5,0,256,Intel,Windows
113,HP,Notebook,4,Windows 10,1.63,722.0,NormalScreen,Yes,111.9352036,Intel Core i5,500,0,Intel,Windows
114,Dell,Ultrabook,8,Windows 10,1.21,1629.0,NormalScreen,Yes,165.6321181,Intel Core i5,0,256,Intel,Windows
115,HP,2 in 1 Convertible,8,Windows 10,1.26,1398.99,TouchScreen,Yes,165.6321181,Intel Core i5,0,256,Intel,Windows
116,HP,Notebook,8,Windows 10,1.63,1084.0,NormalScreen,No,157.3505121,Intel Core i7,0,512,Intel,Windows
117,Dell,Notebook,8,Windows 10,2.16,1130.33,NormalScreen,Yes,141.2119981,Intel Core i7,1000,256,Nvidia,Windows
118,Asus,Notebook,4,Windows 10,2.0,564.0,NormalScreen,No,127.3356746,Intel Core i3,1000,0,Nvidia,Windows
119,Asus,Notebook,8,Windows 10,1.7,1118.0,NormalScreen,No,141.2119981,Intel Core i7,0,256,Nvidia,Windows
120,Acer,Notebook,6,Windows 10,2.1,479.0,TouchScreen,Yes,141.2119981,Intel Core i3,1000,0,Intel,Windows
121,MSI,Gaming,16,Windows 10,1.8,2241.5,NormalScreen,No,141.2119981,Intel Core i7,2000,256,Nvidia,Windows
122,Lenovo,Notebook,8,No OS,2.2,629.0,NormalScreen,No,141.2119981,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
123,HP,Notebook,16,Windows 10,2.5,1271.0,NormalScreen,No,127.3356746,Intel Core i7,0,512,Nvidia,Windows
124,Acer,Notebook,4,Windows 10,2.1,451.0,NormalScreen,No,100.4546699,AMD Processor,0,256,AMD,Windows
125,HP,Notebook,4,No OS,1.86,259.0,NormalScreen,No,100.4546699,Other Intel Processor,500,0,Intel,Others/No OS/Linux
126,HP,Notebook,8,Windows 10,1.63,812.0,NormalScreen,No,157.3505121,Intel Core i5,1000,0,Intel,Windows
127,Asus,Notebook,4,Windows 10 S,1.65,277.99,NormalScreen,No,111.9352036,AMD Processor,0,64,AMD,Windows
128,Dell,Notebook,16,Windows 10,2.8,1396.0,NormalScreen,No,127.3356746,Intel Core i7,2000,256,AMD,Windows
129,HP,Notebook,8,Windows 10,2.5,928.0,NormalScreen,No,127.3356746,Intel Core i5,0,256,Intel,Windows
130,Dell,Notebook,8,Windows 10,2.36,638.99,NormalScreen,No,100.4546699,Intel Core i5,1000,0,AMD,Windows
131,Dell,Notebook,4,Windows 10,2.2,449.0,NormalScreen,No,141.2119981,Intel Core i3,1000,0,AMD,Windows
132,Acer,Ultrabook,8,Windows 10,1.6,884.0,NormalScreen,Yes,157.3505121,Intel Core i7,0,256,Intel,Windows
133,Acer,Notebook,4,Windows 10,2.2,572.0,NormalScreen,No,141.2119981,Intel Core i3,0,256,Nvidia,Windows
134,HP,Notebook,8,Windows 10,2.05,598.0,NormalScreen,No,100.4546699,Intel Core i7,1000,0,Intel,Windows
135,HP,Notebook,8,Windows 10,1.63,988.0,NormalScreen,No,157.3505121,Intel Core i7,0,256,Intel,Windows
136,Lenovo,Notebook,4,No OS,1.9,252.36,NormalScreen,No,100.4546699,Other Intel Processor,1000,0,Intel,Others/No OS/Linux
137,Asus,Gaming,8,Windows 10,3.0,938.0,NormalScreen,No,127.3356746,Intel Core i5,1000,128,Nvidia,Windows
138,Lenovo,Notebook,4,No OS,2.2,499.0,NormalScreen,No,141.2119981,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
139,HP,Notebook,4,Windows 10,1.32,699.0,NormalScreen,Yes,165.6321181,Intel Core i5,0,256,Intel,Windows
140,Acer,Notebook,4,Windows 10,3.0,655.0,NormalScreen,Yes,127.3356746,Intel Core i3,1000,0,Nvidia,Windows
141,Lenovo,Notebook,8,Windows 10,1.75,1116.02,NormalScreen,Yes,157.3505121,Intel Core i5,0,256,AMD,Windows
142,Lenovo,Gaming,8,No OS,2.4,869.0,NormalScreen,Yes,141.2119981,Intel Core i7,0,256,Nvidia,Others/No OS/Linux
143,Toshiba,Notebook,4,Windows 10,2.1,602.0,NormalScreen,No,100.4546699,Intel Core i5,500,0,Intel,Windows
144,HP,Notebook,4,Windows 10,1.86,369.0,NormalScreen,No,100.4546699,AMD Processor,0,256,AMD,Windows
145,Asus,Ultrabook,8,Windows 10,1.25,1099.0,NormalScreen,No,157.3505121,Intel Core i7,0,256,Intel,Windows
146,HP,Ultrabook,8,Windows 10,0.97,2014.0,TouchScreen,Yes,352.4651472,Other Intel Processor,0,512,Intel,Windows
147,Asus,Notebook,4,Windows 10,2.0,344.0,NormalScreen,No,141.2119981,Other Intel Processor,1000,0,Intel,Windows
148,MSI,Gaming,16,Windows 10,2.9,2029.0,NormalScreen,No,127.3356746,Intel Core i7,1000,256,Nvidia,Windows
149,Acer,Notebook,4,Windows 10,2.1,447.0,NormalScreen,No,100.4546699,Intel Core i3,1000,0,Intel,Windows
150,Dell,Gaming,16,Windows 10,2.56,1249.26,NormalScreen,No,141.2119981,Intel Core i7,0,512,Nvidia,Windows
151,Dell,Gaming,8,Windows 10,2.62,899.0,NormalScreen,No,141.2119981,Intel Core i7,0,0,Nvidia,Windows
152,Lenovo,Notebook,4,Windows 10,1.9,498.0,NormalScreen,No,100.4546699,Intel Core i5,0,128,Intel,Windows
153,MSI,Gaming,16,Windows 10,2.8,1890.0,NormalScreen,No,127.3356746,Intel Core i7,1000,256,Nvidia,Windows
154,HP,Ultrabook,4,Windows 10,1.48,1082.0,NormalScreen,No,157.3505121,Intel Core i5,0,256,Intel,Windows
155,HP,Notebook,6,Windows 10,1.91,619.0,NormalScreen,No,141.2119981,Intel Core i5,0,256,AMD,Windows
156,Lenovo,2 in 1 Convertible,4,Windows 10,1.74,629.0,TouchScreen,Yes,157.3505121,Intel Core i3,0,256,Intel,Windows
157,Asus,2 in 1 Convertible,8,Windows 10,1.1,1315.0,TouchScreen,No,165.6321181,Intel Core i5,0,256,Intel,Windows
158,Dell,2 in 1 Convertible,8,Windows 10,1.56,1049.0,TouchScreen,No,141.2119981,Intel Core i7,0,256,Intel,Windows
159,Toshiba,Notebook,4,Windows 10,2.1,447.0,NormalScreen,No,100.4546699,Intel Core i3,500,0,Intel,Windows
160,Asus,Notebook,4,Windows 10,2.03,403.0,NormalScreen,No,100.4546699,AMD Processor,1000,0,AMD,Windows
161,Acer,Notebook,4,Windows 10,3.0,805.0,NormalScreen,Yes,127.3356746,Intel Core i5,0,256,Nvidia,Windows
162,Dell,Notebook,8,Windows 10,2.13,728.0,NormalScreen,No,141.2119981,Intel Core i5,0,256,AMD,Windows
163,Lenovo,Gaming,16,Windows 10,2.5,1079.0,NormalScreen,Yes,141.2119981,Intel Core i7,0,256,Nvidia,Windows
164,Acer,Notebook,4,Windows 10,2.1,348.0,NormalScreen,No,100.4546699,Other Intel Processor,1000,0,Intel,Windows
165,MSI,Gaming,16,Windows 10,2.4,1799.0,NormalScreen,Yes,141.2119981,Intel Core i7,1000,256,Nvidia,Windows
166,Acer,Notebook,4,Windows 10,2.1,363.51,NormalScreen,No,100.4546699,Other Intel Processor,1000,0,Intel,Windows
167,Dell,Gaming,8,Windows 10,2.56,1060.49,NormalScreen,No,141.2119981,Intel Core i7,1000,128,Nvidia,Windows
168,Acer,Notebook,8,Windows 10,3.0,854.0,NormalScreen,Yes,127.3356746,Intel Core i5,0,256,Nvidia,Windows
169,HP,Notebook,4,Windows 10,1.49,754.0,NormalScreen,Yes,165.6321181,Intel Core i5,500,0,Intel,Windows
170,Huawei,Ultrabook,8,Windows 10,1.05,1349.0,NormalScreen,Yes,199.6920706,Intel Core i5,0,256,Intel,Windows
171,HP,Notebook,6,Windows 10,2.71,699.0,NormalScreen,Yes,127.3356746,Intel Core i5,2000,0,AMD,Windows
172,Lenovo,Notebook,4,No OS,2.2,309.0,NormalScreen,No,100.4546699,AMD Processor,500,0,AMD,Others/No OS/Linux
173,Toshiba,Notebook,4,Windows 10,2.0,489.0,NormalScreen,No,100.4546699,Intel Core i3,500,0,Intel,Windows
174,HP,Notebook,8,Windows 10,2.5,923.0,NormalScreen,No,127.3356746,Intel Core i5,0,256,Nvidia,Windows
175,Dell,Notebook,8,Windows 10,2.3,459.0,NormalScreen,No,100.4546699,Intel Core i3,1000,0,Intel,Windows
176,Acer,Notebook,4,Windows 10,2.1,449.0,NormalScreen,No,100.4546699,Intel Core i3,0,128,Intel,Windows
177,MSI,Gaming,32,Windows 10,4.4,2799.0,NormalScreen,No,119.7232158,Intel Core i7,1000,512,Nvidia,Windows
178,Lenovo,Notebook,8,Windows 10,1.9,813.0,NormalScreen,No,141.2119981,Intel Core i5,1000,128,AMD,Windows
179,HP,2 in 1 Convertible,8,Windows 10,1.29,1499.0,TouchScreen,Yes,331.2642361,Intel Core i5,0,256,Intel,Windows
180,Dell,Notebook,16,Linux,2.02,1049.0,NormalScreen,No,141.2119981,Intel Core i7,2000,256,AMD,Others/No OS/Linux
181,Dell,Ultrabook,8,Windows 10,1.23,1399.0,NormalScreen,No,165.6321181,Intel Core i5,0,256,Intel,Windows
182,Lenovo,2 in 1 Convertible,16,Windows 10,1.4,1849.0,TouchScreen,Yes,316.9650604,Intel Core i7,0,512,Intel,Windows
183,Toshiba,Notebook,8,Windows 10,2.0,793.0,NormalScreen,No,100.4546699,Intel Core i5,0,128,Intel,Windows
184,Xiaomi,Notebook,8,No OS,1.95,1199.0,NormalScreen,Yes,141.2119981,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
185,Dell,Notebook,16,Windows 10,2.77,1549.0,TouchScreen,No,127.3356746,Intel Core i7,0,512,Nvidia,Windows
186,Dell,Notebook,16,Windows 10,2.06,2397.0,TouchScreen,No,282.4239962,Intel Core i7,0,512,Nvidia,Windows
187,Lenovo,Gaming,8,No OS,2.4,779.0,NormalScreen,Yes,141.2119981,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
188,Acer,Ultrabook,8,Windows 10,1.12,989.0,NormalScreen,Yes,165.6321181,Intel Core i5,0,256,Intel,Windows
189,Dell,Notebook,8,Windows 10,2.8,1085.0,NormalScreen,No,127.3356746,Intel Core i7,1000,128,AMD,Windows
190,Lenovo,2 in 1 Convertible,16,Windows 10,1.42,2824.0,TouchScreen,No,209.8006829,Intel Core i7,0,1000,Intel,Windows
191,Vero,Notebook,4,Windows 10,1.3,260.0,NormalScreen,Yes,157.3505121,Other Intel Processor,0,0,Intel,Windows
192,Xiaomi,Ultrabook,8,No OS,1.3,999.9,NormalScreen,Yes,165.6321181,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
193,Lenovo,Notebook,8,No OS,2.8,698.0,NormalScreen,No,106.1130621,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
194,Dell,2 in 1 Convertible,8,Windows 10,1.62,839.0,TouchScreen,Yes,165.6321181,Intel Core i7,1000,0,Intel,Windows
195,HP,Notebook,8,Windows 10,2.5,914.0,NormalScreen,Yes,127.3356746,Intel Core i5,1000,0,Nvidia,Windows
196,Razer,Gaming,32,Windows 10,3.49,6099.0,TouchScreen,No,254.6713491,Intel Core i7,0,1000,Nvidia,Windows
197,HP,Notebook,8,Windows 10,1.49,959.0,NormalScreen,No,165.6321181,Intel Core i5,0,512,Intel,Windows
198,HP,Gaming,16,Windows 10,3.35,1379.0,NormalScreen,Yes,127.3356746,Intel Core i7,1000,256,Nvidia,Windows
199,HP,Notebook,8,Windows 10,2.5,1045.0,NormalScreen,No,127.3356746,Intel Core i7,0,256,Nvidia,Windows
200,Dell,Gaming,16,Windows 10,2.65,1845.0,NormalScreen,Yes,282.4239962,Intel Core i7,1000,512,Nvidia,Windows
201,Lenovo,Notebook,4,Windows 10,2.1,493.0,NormalScreen,No,100.4546699,Intel Core i5,0,128,Intel,Windows
202,Acer,Notebook,8,Windows 10,2.23,742.0,NormalScreen,No,141.2119981,Intel Core i7,1000,0,Nvidia,Windows
203,Lenovo,Gaming,16,Windows 10,3.2,1749.0,NormalScreen,Yes,141.2119981,Intel Core i7,1000,512,Nvidia,Windows
204,Dell,Workstation,16,Windows 10,2.8,3055.0,NormalScreen,No,282.4239962,Other Intel Processor,1000,256,Nvidia,Windows
205,Lenovo,Gaming,16,No OS,2.4,1398.0,NormalScreen,No,141.2119981,Intel Core i7,0,512,Nvidia,Others/No OS/Linux
206,Dell,Notebook,6,Windows 10,2.3,439.0,TouchScreen,No,100.4546699,Intel Core i3,1000,0,Intel,Windows
207,Dell,Ultrabook,8,Windows 10,1.21,1949.0,TouchScreen,Yes,331.2642361,Intel Core i7,0,256,Intel,Windows
208,Dell,Ultrabook,8,Windows 10,1.2,1449.0,NormalScreen,No,165.6321181,Intel Core i7,0,256,Intel,Windows
209,Lenovo,Notebook,8,Windows 10,2.2,597.0,NormalScreen,No,100.4546699,Intel Core i5,0,256,Intel,Windows
210,Acer,Notebook,8,Linux,2.4,779.0,NormalScreen,No,141.2119981,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
